area,edu,exp,num,salary,title
"上海,浦东,陆家嘴",大专,"经验不限,可接收应届生",10,5000-8000,VIP专员
"上海,普陀,光新",中专,"经验不限,可接收应届生",10,3000-5000,服务员
"上海,宝山,大场",学历不限,"经验不限,可接收应届生",20,5000-8000,销售代表
"上海,长宁,江苏路地铁",学历不限,经验不限,20,8000-12000,投资/理财顾问
上海,学历不限,"经验不限,可接收应届生",40,3000-5000,美容助理/学徒
上海,学历不限,"经验不限,可接收应届生",500,5000-8000,普工
"上海,浦东",学历不限,经验不限,500,5000-8000,普工
"上海,徐汇,上海南站",高中,"经验不限,可接收应届生",50,8000-12000,销售代表
"上海,徐汇",学历不限,经验不限,59,12000-20000,出租车司机
"上海,徐汇,斜土路",大专,"经验不限,可接收应届生",5,8000-12000,销售代表
"上海,静安,曹家渡",高中,3-5年,10,12000-20000,销售代表
上海,学历不限,"经验不限,可接收应届生",30,5000-8000,发型师
"上海,长宁,江苏路地铁",学历不限,经验不限,50,5000-8000,快递员
上海,大专,"经验不限,可接收应届生",10,5000-8000,销售代表
"上海,杨浦",学历不限,经验不限,20,12000-20000,商务司机
"上海,杨浦",本科,"1年以下,可接收应届生",6,25000,销售代表
"上海,普陀,金沙江路",大专,"经验不限,可接收应届生",10,3000-5000,店长/卖场经理
"上海,松江,洞泾",大专,"经验不限,可接收应届生",5,8000-12000,区域销售
"上海,徐汇,徐家汇",学历不限,"经验不限,可接收应届生",10,8000-12000,行政专员/助理
"上海,普陀",技校,经验不限,3,5000-8000,销售代表
"上海,浦东",学历不限,经验不限,15,8000-12000,商务司机
"上海,静安",高中,经验不限,4,3000-5000,服务员
"上海,浦东",学历不限,"经验不限,可接收应届生",6,5000-8000,WEB前端开发
